Time,Timestamp,Pulse rate [bpm],spo2,ppg,strength,IBI,SDNN,SDSD,RMSSD,pNN20,pNN50
2022-08-03 15:21:46.636,1659511306.6363695,N,85,99,29,3,0,0,0,0,0,0
2022-08-03 15:21:46.650,1659511306.6507533,N,85,99,27,3,0,0,0,0,0,0
2022-08-03 15:21:46.668,1659511306.6683874,N,85,99,25,2,0,0,0,0,0,0
2022-08-03 15:21:46.684,1659511306.6849442,N,85,99,22,2,0,0,0,0,0,0
2022-08-03 15:21:46.701,1659511306.7019858,N,85,99,20,2,0,0,0,0,0,0
2022-08-03 15:21:46.717,1659511306.717488,N,85,99,18,2,0,0,0,0,0,0
2022-08-03 15:21:46.734,1659511306.734327,N,85,99,17,2,0,0,0,0,0,0
2022-08-03 15:21:46.751,1659511306.7515247,N,85,99,15,1,0,0,0,0,0,0
2022-08-03 15:21:46.768,1659511306.7681158,N,85,99,14,1,0,0,0,0,0,0
2022-08-03 15:21:46.784,1659511306.7840254,N,85,99,12,1,0,0,0,0,0,0
2022-08-03 15:21:46.798,1659511306.7989829,N,85,99,11,1,0,0,0,0,0,0
2022-08-03 15:21:46.815,1659511306.815583,N,85,99,10,1,0,0,0,0,0,0
2022-08-03 15:21:46.835,1659511306.8352623,N,85,99,10,1,0,0,0,0,0,0
2022-08-03 15:21:46.852,1659511306.8528607,N,85,99,13,1,0,0,0,0,0,0
2022-08-03 15:21:46.866,1659511306.86684,N,85,99,18,2,0,0,0,0,0,0
2022-08-03 15:21:46.886,1659511306.886133,N,85,99,26,3,0,0,0,0,0,0
2022-08-03 15:21:46.901,1659511306.9012334,N,85,99,36,5,0,0,0,0,0,0
2022-08-03 15:21:46.917,1659511306.9173596,N,85,99,45,6,0,0,0,0,0,0
2022-08-03 15:21:46.934,1659511306.93484,N,85,99,55,7,0,0,0,0,0,0
2022-08-03 15:21:46.949,1659511306.9498742,N,85,99,63,8,0,0,0,0,0,0
2022-08-03 15:21:46.967,1659511306.967097,N,85,99,68,8,0,0,0,0,0,0
2022-08-03 15:21:46.984,1659511306.9841466,N,85,99,70,8,0,0,0,0,0,0
2022-08-03 15:21:47.001,1659511307.0017345,N,85,99,69,8,0,0,0,0,0,0
2022-08-03 15:21:47.017,1659511307.0177433,N,85,99,68,8,0,0,0,0,0,0
2022-08-03 15:21:47.035,1659511307.035233,N,84,99,65,8,0,0,0,0,0,0
2022-08-03 15:21:47.051,1659511307.051841,N,84,99,63,7,0,0,0,0,0,0
2022-08-03 15:21:47.068,1659511307.0686188,N,84,99,60,7,0,0,0,0,0,0
2022-08-03 15:21:47.086,1659511307.0866091,N,84,99,57,7,0,0,0,0,0,0
2022-08-03 15:21:47.113,1659511307.1135347,N,84,99,55,6,0,0,0,0,0,0
2022-08-03 15:21:47.117,1659511307.1172519,N,84,99,52,6,0,0,0,0,0,0
2022-08-03 15:21:47.136,1659511307.1360161,N,84,99,50,6,0,0,0,0,0,0
2022-08-03 15:21:47.152,1659511307.1520276,N,84,99,49,6,0,0,0,0,0,0
2022-08-03 15:21:47.167,1659511307.1673255,N,84,99,48,5,0,0,0,0,0,0
2022-08-03 15:21:47.184,1659511307.184866,N,84,99,47,5,0,0,0,0,0,0
2022-08-03 15:21:47.201,1659511307.201418,N,84,99,46,5,0,0,0,0,0,0
2022-08-03 15:21:47.217,1659511307.217969,N,84,99,45,5,0,0,0,0,0,0
2022-08-03 15:21:47.232,1659511307.2327626,N,84,99,43,5,0,0,0,0,0,0
2022-08-03 15:21:47.249,1659511307.2497098,N,84,99,42,5,0,0,0,0,0,0
2022-08-03 15:21:47.269,1659511307.2694895,N,84,99,40,5,0,0,0,0,0,0
2022-08-03 15:21:47.286,1659511307.2861032,N,84,99,39,4,0,0,0,0,0,0
2022-08-03 15:21:47.302,1659511307.302726,N,84,99,37,4,0,0,0,0,0,0
2022-08-03 15:21:47.316,1659511307.3166876,N,84,99,35,4,0,0,0,0,0,0
2022-08-03 15:21:47.336,1659511307.3367383,N,84,99,33,4,0,0,0,0,0,0
2022-08-03 15:21:47.354,1659511307.3542433,N,84,99,31,3,0,0,0,0,0,0
2022-08-03 15:21:47.371,1659511307.3710353,N,84,99,29,3,0,0,0,0,0,0
2022-08-03 15:21:47.382,1659511307.3829987,N,84,99,28,3,0,0,0,0,0,0
2022-08-03 15:21:47.400,1659511307.400199,N,84,99,27,3,0,0,0,0,0,0
2022-08-03 15:21:47.417,1659511307.417067,N,84,99,26,3,0,0,0,0,0,0
2022-08-03 15:21:47.434,1659511307.4342122,N,84,99,26,3,0,0,0,0,0,0
2022-08-03 15:21:47.452,1659511307.4521334,N,84,99,26,3,0,0,0,0,0,0
2022-08-03 15:21:47.467,1659511307.4677188,N,84,99,26,3,0,0,0,0,0,0
2022-08-03 15:21:47.484,1659511307.484084,N,84,99,26,3,0,0,0,0,0,0
2022-08-03 15:21:47.500,1659511307.500405,N,84,99,27,3,0,0,0,0,0,0
2022-08-03 15:21:47.518,1659511307.5189543,N,84,99,27,3,0,0,0,0,0,0
2022-08-03 15:21:47.536,1659511307.5366402,N,84,99,28,3,0,0,0,0,0,0
2022-08-03 15:21:47.552,1659511307.5527127,N,84,99,31,4,0,0,0,0,0,0
2022-08-03 15:21:47.569,1659511307.5696297,N,84,99,37,5,0,0,0,0,0,0
2022-08-03 15:21:47.585,1659511307.5857463,N,84,99,44,6,0,0,0,0,0,0
2022-08-03 15:21:47.602,1659511307.602692,N,84,99,55,7,0,0,0,0,0,0
2022-08-03 15:21:47.623,1659511307.6236272,N,84,99,67,9,0,0,0,0,0,0
2022-08-03 15:21:47.633,1659511307.6338148,N,84,99,80,10,0,0,0,0,0,0
2022-08-03 15:21:47.650,1659511307.650757,N,84,99,91,12,0,0,0,0,0,0
2022-08-03 15:21:47.665,1659511307.665845,N,84,99,99,12,0,0,0,0,0,0
2022-08-03 15:21:47.683,1659511307.6839027,N,84,99,104,13,0,0,0,0,0,0
